FILIAL,PEDIDO,TIPO DE VENDA,EMISSAO,FATURA,FAMÍLIA,PRODUTO,QTDE,PREÇO,PRAZO,FRETE;;;;;;;;;;;;;;476.847.531;253.443.870;223.403.661
"SP,946539,Venda Estoque,1/4/2016,1/4/2016,PELBD,2038.68-G,""3,000"",6.0417,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,943281,Venda Estoque,12/17/2015,1/4/2016,PELBD,2045G,""6,875"",7.0313,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,944740,Venda Estoque,12/22/2015,1/4/2016,PELBD,5075G,""13,750"",5.9375,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"SP,946539,Venda Estoque,1/4/2016,1/4/2016,PELBD,5075G,""9,225"",6.0417,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,946532,Venda Estoque,1/4/2016,1/4/2016,PELBD,5075G,""1,375"",7.0732,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,939506,Venda Estoque,12/8/2015,1/4/2016,PELBD,NG2045B,""2,750"",8.1098,35 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"PR,943281,Venda Estoque,12/17/2015,1/4/2016,PELBD,TG2085B,""6,875"",7.0313,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946457,Venda Estoque,1/4/2016,1/4/2016,PELBD,TG2085B,""5,500"",7.5568,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946513,Venda Estoque,1/4/2016,1/4/2016,PELBD,5401G,""1,375"",7.9659,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,945792,Venda Estoque,12/29/2015,1/4/2016,ETP,A216 V33 NAT,200,22.3000,28/35/42 DIAS LIQ,FOB;;;;;;;;;;;;;;;;
SP,946473,Venda Estoque,1/4/2016,1/4/2016,ETP,A218 V30 PR2,150,18.9700,28/42 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
SP,946520,Venda Estoque,1/4/2016,1/4/2016,ETP,A718 V30 PR6,350,13.1100,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
PR,946534,Venda Estoque,1/4/2016,1/4/2016,ETP,CEL M25 C,500,10.6136,10 Dias Liquidos,FOB;;;;;;;;;;;;;;;;
"PR,943741,Venda Estoque,12/18/2015,1/4/2016,ETP,CEL M90 C,""5,000"",10.3800,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,946733,Venda Estoque,1/4/2016,1/4/2016,ETP,CEL M90 C,75,11.0500,A VISTA,FOB;;;;;;;;;;;;;;;;
SP,946759,Venda Estoque,1/4/2016,1/4/2016,ETP,EB062,500,20.5732,31/38/45 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,946537,Venda Estoque,1/4/2016,1/4/2016,ETP,GP22 NR,100,9.8537,35 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
"PR,946534,Venda Estoque,1/4/2016,1/4/2016,ETP,GP35 NR,""1,375"",8.7500,10 Dias Liquidos,FOB";;;;;;;;;;;;;;;;
SP,944238,Venda Estoque,12/21/2015,1/4/2016,ETP,GP35 NR,200,9.9634,28/35 DIAS LIQUID,FOB;;;;;;;;;;;;;;;;
SP,946745,Venda Estoque,1/4/2016,1/4/2016,ETP,GP35 NR,150,10.1000,A VISTA,FOB;;;;;;;;;;;;;;;;
SP,946816,Venda Estoque,1/4/2016,1/4/2016,ETP,GP35 PR,100,11.6400,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
